age,bilat_0,Damoiseaux.fit,Burke.fit,Appelman.fit,Saux.fit,McCormick.fit,Damoiseaux.se,Burke.se,Appelman.se,Saux.se,McCormick.se
0,No,-0.094082313,NA,-0.225994947,-0.187015787,-0.039332822,0.251525012,NA,0.264347233,0.15508075,0.405466411
0.01,No,0.050952173,NA,0.040140857,0.048371182,0.050585548,0.291165587,NA,0.317656187,0.167656897,0.249366946
0.02,No,0.051037564,NA,0.040153281,0.048427497,0.050651199,0.289526622,NA,0.316680459,0.167190786,0.248071242
0.03,No,0.051122735,NA,0.040165498,0.048483683,0.050716618,0.28788536,NA,0.315704594,0.166724973,0.246776898
0.04,No,0.051207685,NA,0.040177508,0.04853974,0.050781806,0.286241886,NA,0.314728611,0.166259465,0.245484011
0.05,No,0.051292412,NA,0.040189311,0.048595667,0.05084676,0.284596287,NA,0.313752533,0.165794266,0.24419268
0.06,No,0.051376916,NA,0.040200908,0.048651464,0.050911481,0.282948651,NA,0.31277638,0.165329383,0.242903003
0.07,No,0.051461195,NA,0.040212299,0.048707131,0.050975968,0.28129907,NA,0.311800171,0.16486482,0.241615083
0.08,No,0.051545249,NA,0.040223485,0.048762669,0.051040221,0.279647637,NA,0.310823929,0.164400583,0.240329021
0.09,No,0.051629074,NA,0.040234464,0.048818076,0.051104237,0.277994448,NA,0.309847673,0.163936677,0.239044921
0.1,No,0.051712672,NA,0.040245238,0.048873352,0.051168018,0.276339602,NA,0.308871424,0.163473109,0.237762886
0.11,No,0.05179604,NA,0.040255808,0.048928498,0.051231562,0.2746832,NA,0.307895204,0.163009884,0.236483022
0.12,No,0.051879177,NA,0.040266172,0.048983513,0.051294869,0.273025344,NA,0.306919033,0.162547007,0.235205437
0.13,No,0.051962082,NA,0.040276332,0.049038396,0.051357938,0.271366142,NA,0.305942931,0.162084484,0.233930238
0.14,No,0.052044753,NA,0.040286288,0.049093149,0.051420768,0.269705702,NA,0.304966921,0.161622321,0.232657535
0.15,No,0.052127191,NA,0.04029604,0.04914777,0.051483359,0.268044136,NA,0.303991022,0.161160523,0.231387438
0.16,No,0.052209393,NA,0.040305588,0.049202259,0.05154571,0.266381558,NA,0.303015255,0.160699096,0.23012006
0.17,No,0.052291358,NA,0.040314933,0.049256617,0.05160782,0.264718084,NA,0.302039642,0.160238046,0.228855514
0.18,No,0.052373085,NA,0.040324075,0.049310843,0.05166969,0.263053836,NA,0.301064204,0.159777379,0.227593913
0.19,No,0.052454574,NA,0.040333014,0.049364936,0.051731318,0.261388936,NA,0.300088961,0.159317099,0.226335375
0.2,No,0.052535822,NA,0.04034175,0.049418897,0.051792703,0.25972351,NA,0.299113934,0.158857214,0.225080015
0.21,No,0.052616829,NA,0.040350285,0.049472725,0.051853846,0.258057687,NA,0.298139145,0.158397728,0.223827952
0.22,No,0.052697593,NA,0.040358617,0.049526421,0.051914745,0.256391599,NA,0.297164615,0.157938648,0.222579305
0.23,No,0.052778114,NA,0.040366748,0.049579983,0.051975401,0.254725382,NA,0.296190364,0.157479979,0.221334197
0.24,No,0.05285839,NA,0.040374677,0.049633413,0.052035811,0.253059174,NA,0.295216414,0.157021728,0.220092748
0.25,No,0.05293842,NA,0.040382406,0.049686709,0.052095977,0.251393117,NA,0.294242785,0.156563899,0.218855082
0.26,No,0.053018203,NA,0.040389934,0.049739872,0.052155896,0.249727357,NA,0.293269499,0.1561065,0.217621324
0.27,No,0.053097738,NA,0.040397261,0.049792901,0.05221557,0.248062043,NA,0.292296578,0.155649536,0.216391601
0.28,No,0.053177024,NA,0.040404388,0.049845797,0.052274996,0.246397327,NA,0.291324041,0.155193013,0.215166038
0.29,No,0.053256059,NA,0.040411316,0.049898558,0.052334175,0.244733365,NA,0.29035191,0.154736937,0.213944766
0.3,No,0.053334843,NA,0.040418044,0.049951185,0.052393106,0.243070316,NA,0.289380207,0.154281314,0.212727914
0.31,No,0.053413374,NA,0.040424573,0.050003678,0.052451788,0.241408346,NA,0.288408952,0.15382615,0.211515614
0.32,No,0.053491651,NA,0.040430903,0.050056036,0.052510221,0.23974762,NA,0.287438167,0.153371452,0.210307998
0.33,No,0.053569674,NA,0.040437035,0.05010826,0.052568405,0.238088311,NA,0.286467873,0.152917224,0.209105199
0.34,No,0.053647441,NA,0.040442968,0.050160348,0.052626339,0.236430594,NA,0.28549809,0.152463473,0.207907354
0.35,No,0.053724951,NA,0.040448704,0.050212302,0.052684022,0.234774648,NA,0.28452884,0.152010206,0.206714599
0.36,No,0.053802203,NA,0.040454242,0.050264121,0.052741453,0.233120659,NA,0.283560145,0.151557429,0.205527071
0.37,No,0.053879195,NA,0.040459583,0.050315804,0.052798633,0.231468812,NA,0.282592024,0.151105147,0.204344909
0.38,No,0.053955928,NA,0.040464727,0.050367352,0.052855561,0.229819303,NA,0.2816245,0.150653367,0.203168255
0.39,No,0.054032399,NA,0.040469674,0.050418764,0.052912236,0.228172327,NA,0.280657594,0.150202096,0.201997249
